question,answer,choices
"Which of the following best describes the concept of ""least privilege"" in the context of access control?",0,"['Granting users the minimum permissions necessary to perform their tasks', 'Allowing all users to have administrative access to systems', 'Frequently rotating user passwords and access keys', 'Implementing multi-factor authentication for all users']"
"What is the purpose of a security orchestration, automation, and response (SOAR) platform?",2,"['To perform vulnerability scans on systems and applications', 'To provide secure data storage and backup solutions', 'To automate and streamline security operations and incident response', 'To encrypt network traffic between devices']"
Which type of cyber attack involves exploiting human psychology to trick individuals into revealing sensitive information?,0,"['Phishing attack', 'Cross-site scripting (XSS) attack', 'Buffer overflow attack', 'SQL injection attack']"
What is the main difference between symmetric and asymmetric encryption?,1,"['Symmetric encryption is faster, while asymmetric encryption is slower', 'Symmetric encryption uses one key, while asymmetric encryption uses two keys', 'Symmetric encryption is more secure, while asymmetric encryption is less secure', 'Symmetric encryption is used for data at rest, while asymmetric encryption is used for data in transit']"
Which of the following is a common technique used in network segmentation?,0,"['Implementing a demilitarized zone (DMZ)', 'Using a virtual private network (VPN)', 'Enabling two-factor authentication for remote access', 'Regularly updating antivirus software']"
What is the purpose of a security operations center (SOC)?,1,"['To develop and implement security policies and procedures', ""To continuously monitor and manage an organization's security operations"", ""To perform regular penetration testing on an organization's infrastructure"", 'To provide security awareness training to employees']"
Which of the following is an example of a privileged access management (PAM) solution?,2,"['Firewall', 'Intrusion detection system (IDS)', 'Password vault', 'Security information and event management (SIEM)']"
What is the purpose of a honeypot in the context of network security?,1,"['To actively block malicious traffic from entering a network', 'To attract and detect unauthorized access attempts and malicious activities', 'To encrypt sensitive data stored in a database', 'To perform regular vulnerability scans on systems and applications']"
Which of the following is an example of a zero-day vulnerability?,1,"['A vulnerability that has been publicly disclosed and has an available patch', 'A vulnerability that is unknown to the software vendor and has no patch available', 'A vulnerability that has been exploited by attackers for more than a year', 'A vulnerability that is only exploitable by a specific group of attackers']"
What is the main objective of a supply chain attack?,1,"[""To exploit vulnerabilities in an organization's internal network"", 'To compromise a target by attacking a third-party supplier or service provider', 'To perform a distributed denial-of-service (DDoS) attack', 'To steal sensitive data through social engineering techniques']"
"Which of the following best describes the concept of ""security by design""?",1,"['Implementing security measures after a system or application is developed', 'Integrating security considerations throughout the entire development lifecycle', 'Relying on perimeter-based security controls to protect assets', 'Performing regular penetration testing on systems and applications']"
What is the purpose of a web application firewall (WAF)?,1,"['To filter and monitor incoming and outgoing network traffic', 'To protect web applications from common exploits and attacks', 'To encrypt sensitive data transmitted between a web browser and a server', 'To perform load balancing and improve web application performance']"
Which type of cyber attack involves exploiting weaknesses in an organization's employees?,0,"['Phishing attack', 'Cross-site scripting (XSS) attack', 'Man-in-the-middle attack', 'SQL injection attack']"
What is the main difference between a vulnerability scan and a penetration test?,1,"['A vulnerability scan is automated, while a penetration test is manual', 'A vulnerability scan identifies weaknesses, while a penetration test exploits them', 'A vulnerability scan is performed externally, while a penetration test is performed internally', 'A vulnerability scan is more comprehensive than a penetration test']"
Which of the following is a common technique used in threat hunting?,1,"['Relying on signature-based detection methods', 'Proactively searching for hidden threats using data analysis and machine learning', 'Implementing multi-factor authentication for all users', 'Regularly updating antivirus software on endpoints']"
What is the purpose of a security champion program within an organization?,1,"['To provide security awareness training to all employees', 'To integrate security best practices into the software development lifecycle', ""To manage and monitor an organization's security operations center (SOC)"", 'To perform regular security audits and compliance checks']"
"Which of the following is an example of a security orchestration, automation, and response (SOAR) use case?",0,"['Automating the incident response process based on predefined playbooks', 'Encrypting sensitive data at rest and in transit', 'Performing regular vulnerability scans on systems and applications', 'Implementing a zero trust security model']"
What is the purpose of a security information and event management (SIEM) system?,2,"['To actively prevent cyber attacks in real-time', 'To encrypt sensitive data at rest and in transit', 'To collect, analyze, and correlate log data from various sources', 'To manage firewall rules and configurations']"
Which of the following is an example of a post-exploitation activity in ethical hacking?,2,"['Scanning for open ports and services', 'Performing a vulnerability assessment', 'Maintaining access and covering tracks', 'Performing social engineering attacks']"
What is the main objective of a distributed denial-of-service (DDoS) attack?,1,"['To gain unauthorized access to a system', 'To disrupt the availability of a targeted system or service', 'To steal sensitive data from a database', ""To execute malicious scripts in a victim's web browser""]"
"Which of the following best describes the concept of ""defense in depth"" in cybersecurity?",1,"['Relying on a single layer of security controls to protect assets', 'Implementing multiple layers of security controls to provide comprehensive protection', 'Frequently updating antivirus software on endpoints', 'Conducting regular security awareness training for employees']"
What is the purpose of a cryptographic hash function in cybersecurity?,1,"['To encrypt data for confidentiality', 'To generate a fixed-size output (hash) from an input of arbitrary size', 'To provide secure communication channels', 'To authenticate users and devices']"
Which type of cyber attack involves exploiting vulnerabilities in Internet of Things (IoT) devices?,3,"['Phishing attack', 'Cross-site scripting (XSS) attack', 'Man-in-the-middle attack', 'IoT botnet attack']"
What is the main difference between a security policy and a security procedure?,0,"['A security policy defines high-level security objectives, while a procedure outlines specific steps to achieve those objectives', 'A security procedure defines high-level security objectives, while a policy outlines specific steps to achieve those objectives', 'A security policy is mandatory, while a security procedure is optional', 'A security procedure is more comprehensive than a security policy']"
Which of the following is a common technique used in threat intelligence?,1,"['Relying solely on signature-based detection methods', 'Gathering and analyzing data from various sources to identify emerging threats', 'Implementing multi-factor authentication for all users', 'Regularly updating antivirus software on endpoints']"
What is the purpose of a red team in cybersecurity?,2,"['To provide security awareness training to employees', 'To integrate security best practices into the software development lifecycle', ""To simulate real-world attacks to test an organization's defenses"", 'To perform regular security audits and compliance checks']"
"Which of the following is an example of a security orchestration, automation, and response (SOAR) use case?",0,"['Automating the vulnerability management process using predefined workflows', 'Encrypting sensitive data at rest and in transit', 'Performing regular penetration testing on systems and applications', 'Implementing a zero trust security model']"
